feature_map,n_pool,n_qubits,acc_mean,acc_std,f1_mean,f1_std,mcc_mean,mcc_std
RBF-Class-2n,1600,4,0.8624999999999999,0.029810600044279545,0.8612800691698591,0.030178211454244725,0.8168469456532521,0.03975103974271832
RBF-Class-2n,1600,8,0.8760416666666666,0.036219455522320254,0.8753396523856073,0.0369749315893259,0.8346960877917354,0.0482752627376053
RBF-Class-2n,1600,12,0.8718750000000001,0.02440703023720828,0.8710170391238927,0.02530894562537295,0.8293597342112058,0.03232099378054939
RBF-Class-2n,1600,16,0.875,0.02049199538844374,0.8742391617654501,0.020986109645181366,0.833498922662464,0.027443445716579352
RBF-Class-2n,1600,20,0.8760416666666666,0.02545164942264709,0.8752248145293536,0.026141961262044443,0.8348089825402473,0.03372121772801436
RBF-Class-2n,2000,4,0.8758333333333334,0.017017148213885138,0.8757874739592996,0.017292191630459686,0.8345380543035779,0.022732741656181082
RBF-Class-2n,2000,8,0.8716666666666667,0.014215601757693326,0.8713691714131685,0.0143571660743792,0.8293211765563058,0.01899571603317925
RBF-Class-2n,2000,12,0.8808333333333334,0.026020824993326672,0.8805503544599262,0.026016555260557166,0.8414345078222113,0.03448060960055787
RBF-Class-2n,2000,16,0.8799999999999999,0.01145643923738959,0.8794153112447698,0.011577023860179014,0.8401732289620926,0.015270301748093469
RBF-Class-2n,2000,20,0.8833333333333333,0.02402255884233263,0.8830045454208421,0.023828006186895775,0.8446618815371121,0.031995765908876865
W2K-Block,400,4,0.8541666666666666,0.01909406539564934,0.8525852218625278,0.0186339695887592,0.8076357763929396,0.026012252041316065
W2K-Block,400,8,0.875,0.024999999999999994,0.8734584109423648,0.025137928480664463,0.8340249978319442,0.03340930856538015
W2K-Block,400,12,0.875,0.024999999999999994,0.8737968491240524,0.02568571330849099,0.8342221614831896,0.03278105373426104
W2K-Block,400,16,0.8708333333333332,0.026020824993326683,0.8695444137517309,0.027007737169082814,0.829399469014025,0.034290505926335965
W2K-Block,400,20,0.7791666666666667,0.014433756729740658,0.7756473333333332,0.014896791645630719,0.706911,0.019130501169598264
W2K-Block,800,4,0.8770833333333333,0.015728821740147413,0.8756736395097873,0.016663500094016077,0.8375691471325099,0.02017891982278241
W2K-Block,800,8,0.8916666666666666,0.025259074277046094,0.8901732333687344,0.02650932898443369,0.8567710602171958,0.03227368331490335
W2K-Block,800,12,0.8791666666666668,0.01804219591217582,0.8771999664125082,0.01951097685888625,0.8398666894431748,0.023220363910686766
W2K-Block,800,16,0.8937499999999999,0.027243118397129167,0.8923152901452133,0.028482636038777574,0.8600035466152655,0.03420645874539469
W2K-Block,800,20,0.8562666666666666,0.028619282544000504,0.85522,0.02953699830720786,0.8091010000000001,0.037932278642338384
W2K-Block,1200,4,0.8472222222222222,0.03871488851323985,0.8460714724848594,0.040864709035109865,0.7968586247175752,0.05164490837767976
W2K-Block,1200,8,0.8513888888888889,0.015774745405000755,0.8508650392781171,0.016940047723122055,0.8022109229428138,0.021289422942551497
W2K-Block,1200,12,0.8583333333333334,0.023199018178458417,0.8573240516340436,0.024893224836852797,0.8118379443951856,0.030632822648949908
W2K-Block,1200,16,0.8555555555555555,0.02055367859298437,0.8551063431120712,0.021848834291895027,0.807745022378167,0.027319382219377894
W2K-Block,1200,20,0.8430333333333334,0.025455123911176145,0.841562,0.02627125887733592,0.7915613333333335,0.03373878620124516
W2K-Block,1600,4,0.8635416666666668,0.033705603515340514,0.8626236724606349,0.03412643381768847,0.818372032436098,0.04491012214609578
W2K-Block,1600,8,0.86875,0.027243118397129187,0.8678198079723245,0.02750644134292223,0.8252650518715668,0.036570399265713975
W2K-Block,1600,12,0.8718750000000001,0.027775607554111254,0.8710089422344026,0.028053162289354984,0.8292836893211321,0.036993136251825424
W2K-Block,1600,16,0.8760416666666666,0.026020824993326627,0.8751955984760104,0.02628156923042187,0.834856088474705,0.03464881398425987
W2K-Block,1600,20,0.8489666666666666,0.013002435669263417,0.847686,0.013419570335893813,0.7994253333333333,0.01723399156705532
W2K-Block,2000,4,0.8716666666666667,0.025041632002194555,0.8715197539541463,0.02531707206188046,0.8289063134589035,0.03333564936808956
W2K-Block,2000,8,0.8733333333333334,0.023094010767585042,0.8730724072519482,0.023203758492770295,0.831298043520902,0.030561300079834406
W2K-Block,2000,12,0.8741666666666666,0.020361319538117647,0.8738655209540199,0.020395386939382202,0.8323668711621325,0.02698297416259537
W2K-Block,2000,16,0.88,0.019525624189766604,0.8795764760847091,0.019768935124532545,0.8400841134632658,0.025960846091338252
W2K-Block,2000,20,0.8666666666666666,0.023228933107943918,0.8659530000000001,0.02397398095853084,0.8228853333333334,0.030787914939685867
ZZ,400,4,0.3041666666666667,0.03818813079129868,0.2499524942776036,0.1271993869561072,0.0667536570659662,0.06034875519523902
ZZ,400,8,0.3125,0.04330127018922193,0.25424400469444863,0.06386338501563453,0.08820178767908916,0.059757394195748784
ZZ,400,12,0.2625,0.0,0.1039603960396039,0.0,0.0,0.0
ZZ,400,16,0.2625,0.0,0.1039603960396039,0.0,0.0,0.0
ZZ,400,20,0.2625,0.0,0.1039603960396039,0.0,0.0,0.0
ZZ,800,4,0.2520833333333334,0.029536347664078817,0.19735873857700081,0.0854760786466736,-0.0035311287659113657,0.037073540263486277
ZZ,800,8,0.2708333333333333,0.014433756729740633,0.16242377036052333,0.10126153470575007,0.015539293210765,0.026914845354755093
ZZ,800,12,0.2625,0.0,0.1039603960396039,0.0,0.0,0.0
ZZ,800,16,0.2625,0.0,0.1039603960396039,0.0,0.0,0.0
ZZ,800,20,0.2625,0.0,0.1039603960396039,0.0,0.0,0.0
ZZ,1200,4,0.29583333333333334,0.019094065395649295,0.29340484787716137,0.01743995799979696,0.06027346913269094,0.02644865003481134
ZZ,1200,8,0.26805555555555555,0.0063646884652164585,0.20734207412299246,0.09024393953597602,0.0159804759861884,0.015409143226418712
ZZ,1200,12,0.2638888888888889,0.0024056261216234,0.10439464999131487,0.000752149907750954,0.0,0.0
ZZ,1200,16,0.2638888888888889,0.0024056261216234,0.10439464999131487,0.000752149907750954,0.0,0.0
ZZ,1200,20,0.2638888888888889,0.0024056261216234,0.10439464999131487,0.000752149907750954,0.0,0.0
ZZ,1600,4,0.29270833333333335,0.04254287053471277,0.2915966525421627,0.041110837643639465,0.056614064688811194,0.057223726301927985
ZZ,1600,8,0.26145833333333335,0.007216878364870332,0.15051544874567716,0.0789419864733267,3.091186655296855e-05,5.354092342653055e-05
ZZ,1600,12,0.265625,0.0,0.1049382716049382,0.0,0.0,0.0
ZZ,1600,16,0.265625,0.0,0.1049382716049382,0.0,0.0,0.0
ZZ,1600,20,0.265625,0.0,0.1049382716049382,0.0,0.0,0.0
ZZ,2000,4,0.3025,0.03307189138830738,0.2466886305366399,0.12298082184274506,0.0625071385362158,0.05462552002349614
ZZ,2000,8,0.2708333333333333,0.012332207155790576,0.21299580409592175,0.09490348518209267,0.0187623288841209,0.022222886678171405
ZZ,2000,12,0.265,0.0,0.1047430830039525,0.0,0.0,0.0
ZZ,2000,16,0.265,0.0,0.1047430830039525,0.0,0.0,0.0
ZZ,2000,20,0.265,0.0,0.1047430830039525,0.0,0.0,0.0
