feature_map,n_pool,n_qubits,seed,acc,f1,mcc
HEE,400,4,2,0.7125,0.7118093788840423,0.6207156980926268
HEE,800,4,0,0.8,0.798914900888585,0.734227130305206
HEE,800,4,1,0.80625,0.8025175705053755,0.7471172500512563
HEE,800,4,2,0.80625,0.8055615821818458,0.7425436947976001
HEE,1200,4,0,0.7666666666666667,0.7631132286539479,0.6928515701443994
HEE,1200,4,1,0.75,0.7454698955904289,0.6673940560093502
HEE,1200,4,2,0.825,0.8249064828415517,0.766758131639071
HEE,1600,4,0,0.821875,0.8184060988655315,0.7642655297771495
HEE,1600,4,1,0.784375,0.7825988913634656,0.7131718860256795
HEE,1600,4,2,0.81875,0.8181947855889447,0.7592249732547142
HEE,2000,4,0,0.825,0.8241275990953132,0.7667053044574866
HEE,2000,4,1,0.8125,0.8113493002150334,0.7510063435441168
HEE,2000,4,2,0.7875,0.786465003230406,0.7167372401437604
ZZ,400,4,0,0.3375,0.3368918027379185,0.1174490942282366
ZZ,400,4,1,0.2625,0.1039603960396039,0.0
ZZ,400,4,2,0.3125,0.3090052840552885,0.082811876969662
ZZ,800,4,0,0.21875,0.2164223850766156,-0.0422438951389671
ZZ,800,4,1,0.2625,0.1039603960396039,0.0
ZZ,800,4,2,0.275,0.2716934346147829,0.031650508841233
ZZ,1200,4,0,0.2916666666666667,0.2883447129278703,0.0537779596405384
ZZ,1200,4,1,0.3166666666666666,0.3128153303572475,0.0893647405897712
ZZ,1200,4,2,0.2791666666666667,0.2790545003463663,0.0376777071677632
ZZ,1600,4,0,0.259375,0.2590418634528471,0.0125732899022801
ZZ,1600,4,1,0.278125,0.2779534813790283,0.0359746059849622
ZZ,1600,4,2,0.340625,0.3377946127946128,0.1212942981791913
ZZ,2000,4,0,0.315,0.3140727147300071,0.0864401434921875
ZZ,2000,4,1,0.265,0.1047430830039525,0.0
ZZ,2000,4,2,0.3275,0.3212500938759601,0.1010812721164599
RBF-Class,400,8,0,0.8375,0.8371366564255702,0.7857242146006433
RBF-Class,400,8,1,0.8375,0.8350884246262936,0.7841503098868733
RBF-Class,400,8,2,0.875,0.8736295681063123,0.8366503423624095
RBF-Class,800,8,0,0.8625,0.8598632497845716,0.8194367284208289
RBF-Class,800,8,1,0.9,0.8992459120300309,0.8668720386619929
RBF-Class,800,8,2,0.90625,0.9057891398472188,0.875795415337071
